id,age,gender,country,city,job_title,job_industry,wealth_segment
268408,57600,1,,,,,
269696,489600,0,,,,,
268159,576000,0,,,,,
270181,748800,0,,,,,
268073,835200,1,,,,,
273216,1180800,0,,,,,
266929,1180800,1,,,,,
275152,1267200,1,,,,,
275034,1440000,0,,,,,
273966,1699200,1,,,,,
270829,1785600,0,,,,,
266997,1872000,1,,,,,
272455,2044800,1,,,,,
274593,2131200,1,,,,,
273391,2390400,0,,,,,
267657,2390400,0,,,,,
271344,2390400,0,,,,,
268275,2649600,0,,,,,
274630,2649600,1,,,,,
273541,2649600,1,,,,,
270324,2649600,0,,,,,
273613,3081600,1,,,,,
271608,3340800,0,,,,,
269008,3686400,0,,,,,
267199,3772800,,,,,,
267916,4032000,0,,,,,
267609,4118400,1,,,,,
270602,4118400,1,,,,,
272883,4204800,1,,,,,
272359,4204800,1,,,,,
272603,4204800,0,,,,,
272028,4291200,0,,,,,
274717,4377600,1,,,,,
273316,4377600,1,,,,,
271262,4377600,1,,,,,
267166,4464000,0,,,,,
270827,5328000,0,,,,,
273423,5328000,0,,,,,
271692,5587200,1,,,,,
274592,5673600,1,,,,,
271777,5673600,1,,,,,
266895,6019200,1,,,,,
274360,6192000,1,,,,,
274602,6278400,0,,,,,
266799,6364800,0,,,,,
272821,6451200,0,,,,,
267379,6796800,0,,,,,
273016,6883200,1,,,,,
273106,6969600,0,,,,,
271935,7228800,1,,,,,
273109,7315200,0,,,,,
270986,7315200,1,,,,,
266969,7401600,1,,,,,
273871,7488000,1,,,,,
273811,7488000,1,,,,,
271312,7747200,0,,,,,
274834,7833600,1,,,,,
271991,7833600,1,,,,,
269765,8006400,0,,,,,
272071,8179200,0,,,,,
272645,8870400,0,,,,,
270780,9216000,0,,,,,
272736,9302400,0,,,,,
272627,9302400,0,,,,,
272795,9561600,1,,,,,
270450,9734400,0,,,,,
266862,9734400,0,,,,,
274535,9907200,0,,,,,
269640,10166400,1,,,,,
268290,10166400,1,,,,,
275250,10425600,0,,,,,
272555,10512000,1,,,,,
268732,10771200,1,,,,,
271478,10771200,0,,,,,
267529,11030400,1,,,,,
271066,11116800,1,,,,,
267819,11116800,0,,,,,
269271,11289600,0,,,,,
273150,11462400,0,,,,,
267386,11548800,1,,,,,
274350,11635200,0,,,,,
273645,12153600,0,,,,,
270911,12153600,1,,,,,
268424,12240000,0,,,,,
271045,12240000,0,,,,,
268627,13017600,1,,,,,
270430,13017600,1,,,,,
271626,13104000,,,,,,
272301,13190400,0,,,,,
269531,13363200,1,,,,,
274849,13708800,1,,,,,
271031,13708800,0,,,,,
272018,13708800,0,,,,,
272186,13708800,1,,,,,
270047,13795200,1,,,,,
274128,13795200,1,,,,,
268313,13881600,0,,,,,
270933,14227200,1,,,,,
271072,14313600,1,,,,,
271465,14400000,0,,,,,
274770,14400000,0,,,,,
270676,14572800,1,,,,,
273529,14572800,0,,,,,
273162,14572800,1,,,,,
268533,14918400,0,,,,,
275246,15091200,1,,,,,
267066,15091200,0,,,,,
269345,15177600,0,,,,,
275116,15436800,1,,,,,
273840,15609600,1,,,,,
268792,15868800,1,,,,,
274892,15955200,0,,,,,
273708,16300800,0,,,,,
272495,16387200,1,,,,,
272926,16473600,0,,,,,
268447,16732800,1,,,,,
273442,16905600,1,,,,,
267081,16992000,0,,,,,
267042,17510400,1,,,,,
273151,17596800,0,,,,,
274169,17596800,0,,,,,
270130,17769600,1,,,,,
274546,17769600,1,,,,,
273575,17856000,1,,,,,
267280,18374400,1,,,,,
267304,18460800,1,,,,,
274445,18720000,1,,,,,
270678,18720000,0,,,,,
270328,18806400,0,,,,,
269449,18979200,1,,,,,
275014,19238400,1,,,,,
269825,20016000,1,,,,,
271750,20188800,0,,,,,
267826,20275200,0,,,,,
272501,20448000,0,,,,,
273587,20707200,0,,,,,
272721,20966400,1,,,,,
275134,21052800,0,,,,,
267713,21139200,1,,,,,
274029,21139200,0,,,,,
272261,21139200,0,,,,,
274628,21225600,1,,,,,
273776,21398400,0,,,,,
274743,21398400,1,,,,,
270051,21484800,1,,,,,
274455,21571200,0,,,,,
272088,21571200,1,,,,,
273583,21571200,1,,,,,
267490,21657600,0,,,,,
268709,21657600,0,,,,,
267536,21744000,1,,,,,
271286,21744000,1,,,,,
273517,21830400,1,,,,,
268365,21916800,1,,,,,
266959,22003200,0,,,,,
272408,22003200,1,,,,,
271177,22089600,0,,,,,
274180,22089600,1,,,,,
267613,22176000,1,,,,,
270748,22348800,1,,,,,
274682,22521600,1,,,,,
266822,22608000,0,,,,,
272017,22780800,1,,,,,
267424,22780800,1,,,,,
272402,22867200,0,,,,,
274194,22953600,1,,,,,
274232,23126400,0,,,,,
272777,23385600,1,,,,,
273372,23385600,0,,,,,
273398,23558400,0,,,,,
267707,23644800,0,,,,,
273170,23731200,0,,,,,
271924,23731200,1,,,,,
270446,23904000,1,,,,,
273353,24076800,0,,,,,
270331,24163200,0,,,,,
269676,24249600,1,,,,,
269919,24422400,1,,,,,
268312,24508800,0,,,,,
267959,24508800,1,,,,,
268998,24508800,0,,,,,
272784,24681600,0,,,,,
