id,age,gender,country,city,job_title,job_industry,wealth_segment
1348959766,,0,United States,New York City,,,
2213674919,,0,United States,Los Angles,,,
1809450308,,0,United States,Seattle,,,
1691227134,,0,United States,Seattle,,,
2290737237,,0,United States,Seattle,,,
2166771669,,0,United States,Seattle,,,
2134863151,,0,United States,Seattle,,,
1183410853,,0,United States,Seattle,,,
1849457093,,0,United States,Seattle,,,
2010052101,,0,United States,Seattle,,,
1330443392,,0,United States,Seattle,,,
1864893410,,0,United States,Seattle,,,
1623523846,,0,United States,Seattle,,,
1456549032,,0,United States,Seattle,,,
2276213857,,0,United States,Seattle,,,
1521344294,,0,United States,Seattle,,,
1699850696,,0,United States,Seattle,,,
1653948384,,0,United States,Seattle,,,
1475591045,,0,United States,Seattle,,,
2017907919,,0,United States,Seattle,,,
1461548878,,0,United States,Seattle,,,
1853984796,,0,United States,Seattle,,,
1958801255,,0,United States,Seattle,,,
2267258961,,0,United States,Seattle,,,
1556119658,,0,United States,Seattle,,,
2257969001,,0,United States,Seattle,,,
2142933445,,0,United States,Seattle,,,
1647079154,,0,United States,Seattle,,,
1812505117,,0,United States,Seattle,,,
1409082781,,0,United States,Seattle,,,
2083574579,,0,United States,Seattle,,,
1514960584,,0,United States,Seattle,,,
1354403579,,0,United States,Seattle,,,
1157824673,,0,United States,Seattle,,,
1233086996,,0,United States,Seattle,,,
2103810425,,0,United States,Seattle,,,
1701130146,,0,United States,Seattle,,,
1708562250,,0,United States,Seattle,,,
1845769101,,0,United States,Seattle,,,
1950083077,,0,United States,Seattle,,,
1856040536,,0,United States,Seattle,,,
1442556982,,0,United States,Seattle,,,
1764118897,,0,United States,Seattle,,,
2111932607,,0,United States,Seattle,,,
2283642167,,0,United States,Seattle,,,
1888053072,,0,United States,Seattle,,,
2111297565,,0,United States,Seattle,,,
1233793305,,0,United States,Seattle,,,
1645228017,,0,United States,New York City,,,
1610000572,,1,United States,New York City,,,
2217960309,,1,United States,New York City,,,
2219304866,,1,United States,New York City,,,
1980331295,,1,United States,New York City,,,
1847892475,,1,United States,New York City,,,
1649911553,,1,United States,New York City,,,
1903809905,,1,United States,New York City,,,
1411855932,,1,United States,New York City,,,
1769953196,,1,United States,New York City,,,
1568148818,,1,United States,New York City,,,
1751652831,,1,United States,New York City,,,
2231859892,,1,United States,New York City,,,
1535745421,,1,United States,New York City,,,
1922087137,,1,United States,New York City,,,
2262467094,,1,United States,New York City,,,
2268641437,,1,United States,New York City,,,
1727052876,,1,United States,New York City,,,
1674613702,,1,United States,New York City,,,
1921733731,,1,United States,New York City,,,
1936150747,,1,United States,New York City,,,
1229841159,,1,United States,New York City,,,
1586690479,,1,United States,New York City,,,
1848085677,,1,United States,New York City,,,
1872369353,,1,United States,New York City,,,
1519749240,,1,United States,New York City,,,
1439048077,,1,United States,New York City,,,
1361902722,,1,United States,New York City,,,
1535495415,,1,United States,New York City,,,
