customer_id,transaction_date,transaction_amount
270384,20/02/2014,8270.92
267750,20/02/2014,4508.40
275023,20/02/2014,2594.54
269345,20/02/2014,4153.69
268799,20/02/2014,2033.20
270787,20/02/2014,3226.60
274829,20/02/2014,1664.13
266863,20/02/2014,1501.69
269452,20/02/2014,2734.88
269009,20/02/2014,3739.32
268934,20/02/2014,4587.96
269223,20/02/2014,3987.95
268509,20/02/2014,5494.06
268516,20/02/2014,969.09
268774,20/02/2014,83.98
270351,20/02/2014,4265.30
272785,20/02/2014,1047.54
267466,20/02/2014,106.08
269101,19/02/2014,6126.12
270842,19/02/2014,3994.57
274987,19/02/2014,2066.35
275139,19/02/2014,191.16
269136,19/02/2014,1044.22
275149,19/02/2014,3553.68
269772,19/02/2014,759.13
267058,19/02/2014,876.26
271817,19/02/2014,4644.31
271322,19/02/2014,7514.00
268229,19/02/2014,5436.60
267544,19/02/2014,889.52
268755,19/02/2014,1124.89
269407,19/02/2014,3165.82
273023,19/02/2014,2324.92
271818,19/02/2014,3111.68
268129,19/02/2014,977.92
274477,18/02/2014,1645.35
267568,18/02/2014,2126.02
267098,18/02/2014,120.44
271608,18/02/2014,2987.92
272484,18/02/2014,6378.06
268715,18/02/2014,1697.28
273250,18/02/2014,7431.12
267097,18/02/2014,181.22
274562,18/02/2014,618.80
268492,18/02/2014,1435.39
273359,18/02/2014,3805.62
271288,18/02/2014,185.64
270778,18/02/2014,6138.27
271030,18/02/2014,419.90
274426,18/02/2014,2337.07
269019,17/02/2014,1058.59
268138,17/02/2014,4634.37
271250,17/02/2014,1562.47
271489,17/02/2014,1353.62
270244,17/02/2014,804.44
269387,17/02/2014,4199.00
273067,17/02/2014,1478.49
275108,17/02/2014,3010.02
267559,17/02/2014,685.10
271763,17/02/2014,3105.05
270678,17/02/2014,6086.34
269018,17/02/2014,1356.94
269162,16/02/2014,1593.41
269867,16/02/2014,4120.55
270108,16/02/2014,2291.77
273734,16/02/2014,4298.45
270294,16/02/2014,5856.50
274014,16/02/2014,1467.44
273506,16/02/2014,1780.15
273420,16/02/2014,1748.11
268592,16/02/2014,3411.14
271561,16/02/2014,2201.16
273896,16/02/2014,1268.54
267360,16/02/2014,2234.31
267072,16/02/2014,4436.57
270148,16/02/2014,1980.16
271509,16/02/2014,4518.35
274813,16/02/2014,4213.36
272069,15/02/2014,4846.53
269388,15/02/2014,2037.62
271875,15/02/2014,1891.76
271355,15/02/2014,4415.58
272777,15/02/2014,1286.22
271912,15/02/2014,3177.98
268052,15/02/2014,1007.76
268772,15/02/2014,1340.37
269014,15/02/2014,2568.02
273075,15/02/2014,5162.56
271297,15/02/2014,1670.76
272145,15/02/2014,5931.64
268867,15/02/2014,788.97
271595,15/02/2014,1614.40
274609,15/02/2014,5348.20
272529,15/02/2014,3840.98
271368,15/02/2014,4353.70
268855,14/02/2014,4518.35
270625,14/02/2014,3287.38
268076,14/02/2014,738.14
271658,14/02/2014,1051.96
271859,14/02/2014,5631.08
271744,14/02/2014,1670.76
273474,14/02/2014,1560.26
273763,14/02/2014,2661.95
274689,14/02/2014,4428.84
269275,14/02/2014,106.08
271924,14/02/2014,811.07
271061,14/02/2014,3328.26
268956,14/02/2014,3094.00
274266,14/02/2014,1513.85
269907,14/02/2014,3431.03
267500,14/02/2014,1867.45
269140,14/02/2014,1511.64
268136,14/02/2014,845.33
271493,13/02/2014,2652.00
271312,13/02/2014,5016.70
267375,13/02/2014,281.77
273174,13/02/2014,709.41
267375,13/02/2014,6568.12
274152,13/02/2014,2535.97
274408,13/02/2014,2555.86
270071,13/02/2014,1809.99
270207,13/02/2014,417.69
270263,13/02/2014,4897.36
273304,13/02/2014,2535.97
268444,13/02/2014,265.20
273848,13/02/2014,4269.72
273598,13/02/2014,3337.10
273552,12/02/2014,2254.20
274652,12/02/2014,808.86
274897,12/02/2014,2061.93
275246,12/02/2014,1309.42
267025,12/02/2014,4123.86
268100,12/02/2014,4369.17
266794,12/02/2014,711.62
273667,12/02/2014,1602.25
269772,12/02/2014,3431.03
270810,12/02/2014,2163.59
271180,12/02/2014,898.37
271944,12/02/2014,2201.16
273799,12/02/2014,394.49
273322,12/02/2014,1288.43
269758,12/02/2014,3155.88
267466,12/02/2014,86.19
270009,12/02/2014,665.21
274678,12/02/2014,718.25
270330,11/02/2014,8027.82
267524,11/02/2014,2764.71
274048,11/02/2014,3116.10
273946,11/02/2014,1367.99
268959,11/02/2014,7956.00
269413,11/02/2014,4097.34
274693,11/02/2014,1429.87
268487,11/02/2014,675.15
274880,11/02/2014,1905.02
269601,11/02/2014,3138.20
267634,11/02/2014,740.35
269933,11/02/2014,2643.16
274345,11/02/2014,3175.77
274781,11/02/2014,649.74
269847,11/02/2014,7768.15
272137,11/02/2014,709.41
272561,11/02/2014,4866.42
274526,11/02/2014,5529.42
268098,10/02/2014,785.65
270631,10/02/2014,1001.13
268845,10/02/2014,4831.06
271872,10/02/2014,96.14
