customer_id,account_id,date_key,total_amount,num_trans,first_transaction,last_transaction
1268965028,training,3_2013,505.00,1,8663,8663
1427377250,training,3_2013,670.00,1,8663,8663
1345645470,training,3_2013,10398.00,1,8663,8663
1510985507,training,3_2013,2041.00,1,8663,8663
2028353597,training,3_2013,159.00,1,8663,8663
2247436226,training,3_2013,532.00,1,8663,8663
1399717763,training,3_2013,399.00,1,8663,8663
1343304073,training,3_2013,654.00,1,8663,8663
1433639222,training,3_2013,2520.00,1,8663,8663
2224624949,training,3_2013,1100.00,1,8663,8663
1170402635,training,3_2013,895.00,1,8663,8663
1956514677,training,3_2013,0.00,1,8664,8664
1268123167,training,3_2013,11732.00,1,8664,8664
1506942193,training,3_2013,825.00,1,8664,8664
2183587621,training,3_2013,2994.00,1,8664,8664
2102758842,training,3_2013,3230.00,1,8664,8664
1818459107,training,3_2013,5136.00,1,8664,8664
1495546601,training,3_2013,1435.00,1,8664,8664
1734619244,training,3_2013,515.00,1,8664,8664
2078631346,training,3_2013,0.00,1,8664,8664
1174075413,training,3_2013,748.00,1,8664,8664
1970001535,training,3_2013,2600.00,1,8664,8664
1230328886,training,3_2013,1600.00,1,8664,8664
1390253108,training,3_2013,6197.00,1,8664,8664
1261506329,training,3_2013,1000.00,1,8664,8664
1966792534,training,3_2013,500.00,1,8664,8664
1504677876,training,3_2013,3285.00,1,8664,8664
1427947814,training,3_2013,1499.00,1,8665,8665
1488580194,training,3_2013,0.00,1,8665,8665
1452430907,training,3_2013,280.00,1,8665,8665
1755547597,training,3_2013,6400.00,1,8665,8665
1442221719,training,3_2013,725.00,1,8665,8665
2047069582,training,3_2013,2998.00,1,8665,8665
1527081323,training,3_2013,2588.00,1,8665,8665
2291220755,training,3_2013,2300.00,1,8665,8665
1250503663,training,3_2013,164.00,1,8665,8665
1158643316,training,3_2013,2000.00,1,8665,8665
1613671593,training,3_2013,3066.00,1,8665,8665
1190725235,training,3_2013,3350.00,1,8665,8665
2033012103,training,3_2013,1776.00,1,8665,8665
1274554132,training,3_2013,0.00,1,8666,8666
1708226246,training,3_2013,2979.00,1,8666,8666
1345512486,training,3_2013,144683.00,1,8666,8666
1328655639,training,3_2013,1779.00,1,8666,8666
1615541307,training,3_2013,6000.00,1,8666,8666
1608212440,training,3_2013,68250.00,1,8666,8666
1672489632,training,3_2013,2245.00,1,8666,8666
1816696604,training,3_2013,700.00,1,8666,8666
1320402298,training,3_2013,99.00,1,8666,8666
1722428885,training,3_2013,1000.00,1,8666,8666
1394916029,training,3_2013,3997.00,1,8666,8666
1599900211,training,3_2013,6499.00,1,8666,8666
1197578514,training,3_2013,20698.00,1,8666,8666
2137995789,training,3_2013,6550.00,1,8666,8666
1809089624,training,3_2013,5000.00,1,8666,8666
1692064673,training,3_2013,15900.00,1,8666,8666
2096077737,training,3_2013,10915.00,1,8666,8666
1936070943,training,3_2013,500.00,1,8666,8666
1677064369,training,3_2013,0.00,1,8666,8666
1834165331,training,3_2013,1087.00,1,8667,8667
1914208132,training,3_2013,15690.00,1,8667,8667
1805631856,training,3_2013,1853.00,1,8667,8667
