customer_id,transaction_date,transaction_amount
2950,25/02/2017,53.62
3120,21/05/2017,388.92
402,16/10/2017,248.82
3135,31/08/2017,381.10
787,01/10/2017,709.48
2339,08/03/2017,829.65
1542,21/04/2017,45.26
2459,15/07/2017,13.44
1305,10/08/2017,380.74
3262,30/08/2017,161.60
1986,17/01/2017,459.71
2783,05/01/2017,56.93
1243,26/02/2017,154.40
2717,10/09/2017,1479.11
247,11/06/2017,709.48
2961,10/10/2017,388.92
2426,03/04/2017,818.01
1842,02/06/2017,1167.18
2268,06/04/2017,13.44
3002,28/01/2017,829.65
1582,09/10/2017,388.72
595,29/06/2017,248.82
2001,08/04/2017,248.82
515,18/10/2017,829.65
2822,11/06/2017,57.74
2596,10/01/2017,596.55
2666,11/04/2017,596.55
76,23/12/2017,459.71
3368,13/10/2017,270.30
1173,15/03/2017,513.85
2810,05/09/2017,381.10
3214,18/02/2017,954.82
1272,20/03/2017,829.65
2003,28/02/2017,1531.42
2171,20/08/2017,376.84
3356,07/07/2017,1259.36
1040,09/01/2017,1105.75
2916,06/12/2017,53.62
427,12/09/2017,161.60
2448,28/11/2017,376.84
2570,08/05/2017,108.76
3398,14/05/2017,675.03
488,17/03/2017,513.85
165,22/12/2017,74.51
2787,07/06/2017,598.76
3053,20/06/2017,589.27
475,07/05/2017,154.40
1305,10/06/2017,649.49
1251,17/06/2017,125.07
3103,10/05/2017,211.37
3108,24/03/2017,795.10
857,27/11/2017,993.66
3455,21/12/2017,136.73
2549,09/02/2017,388.72
3140,18/09/2017,290.41
3406,14/11/2017,1531.42
2294,30/08/2017,993.66
1031,14/11/2017,75.26
993,15/02/2017,874.90
3473,18/12/2017,1759.85
1839,24/02/2017,7.21
1824,18/12/2017,1167.18
368,17/12/2017,954.82
2000,08/07/2017,388.72
825,16/05/2017,1082.36
3315,23/02/2017,125.07
75,03/07/2017,53.62
1498,30/09/2017,677.48
1612,21/10/2017,388.92
2192,06/05/2017,388.72
419,03/01/2017,13.44
3307,09/05/2017,108.76
2430,23/07/2017,45.26
1506,21/01/2017,137.90
1346,20/06/2017,141.40
927,10/03/2017,45.26
763,02/06/2017,131.92
2397,07/11/2017,933.84
102,12/09/2017,707.40
2884,16/12/2017,748.90
759,07/10/2017,594.68
773,27/04/2017,380.74
3398,01/04/2017,125.07
3297,02/11/2017,1167.18
2434,13/02/2017,215.14
1861,19/07/2017,954.82
1233,23/05/2017,388.72
1390,06/08/2017,205.36
2682,04/04/2017,7.21
439,15/08/2017,298.72
1579,15/04/2017,614.80
2984,25/07/2017,333.18
3470,28/11/2017,1167.18
1,23/12/2017,125.07
757,26/02/2017,84.99
1778,21/02/2017,954.82
211,31/05/2017,933.84
333,23/06/2017,400.13
32,26/03/2017,528.43
119,31/07/2017,298.72
2347,27/07/2017,689.18
