customer_id,transaction_date,transaction_amount
1348959766,14/11/2013,6910.00
2213674919,05/11/2013,1699.00
1809450308,01/10/2013,4998.00
1691227134,04/10/2013,736.00
2290737237,12/10/2013,4389.00
2166771669,13/10/2013,1798.00
2134863151,15/10/2013,124.00
1183410853,16/10/2013,0.00
1849457093,18/10/2013,1000.00
2010052101,20/10/2013,602.00
1330443392,22/10/2013,21500.00
1864893410,24/10/2013,1000.00
1623523846,25/10/2013,0.00
1456549032,28/10/2013,0.00
2276213857,30/10/2013,4900.00
1521344294,01/11/2013,3003.00
1699850696,04/11/2013,25635.00
1653948384,07/11/2013,500.00
1475591045,08/11/2013,7926.00
2017907919,10/11/2013,2000.00
1461548878,10/11/2013,1108.00
1853984796,11/11/2013,995.00
1958801255,11/11/2013,1563.00
2267258961,13/11/2013,17800.00
1556119658,13/11/2013,6900.00
2257969001,13/11/2013,1000.00
2142933445,14/11/2013,3990.00
1647079154,15/11/2013,10023.00
1812505117,17/11/2013,3000.00
1409082781,17/11/2013,1229.00
2083574579,17/11/2013,10000.00
1514960584,21/11/2013,7296.00
1354403579,26/11/2013,2879.00
1157824673,26/11/2013,1270.00
1233086996,27/11/2013,4127.00
2103810425,28/11/2013,2199.00
1701130146,28/11/2013,1699.00
1708562250,29/11/2013,0.00
1845769101,29/11/2013,249.00
1950083077,30/11/2013,3499.00
1856040536,30/11/2013,1950.00
1442556982,01/12/2013,7074.00
1764118897,02/12/2013,1000.00
2111932607,02/12/2013,753.00
2283642167,04/12/2013,1220.00
1888053072,06/12/2013,2300.00
2111297565,07/12/2013,299.00
1233793305,09/12/2013,500.00
1645228017,21/12/2013,641.00
1610000572,10/10/2013,1647.00
2217960309,10/10/2013,0.00
2219304866,10/10/2013,5298.00
1980331295,10/10/2013,4509.00
1847892475,12/10/2013,0.00
1649911553,13/10/2013,1499.00
1903809905,13/10/2013,2000.00
1411855932,13/10/2013,3260.00
1769953196,13/10/2013,17837.00
1568148818,14/10/2013,1016.00
