id,x,tx,T,predict
273916,4,933,1007,1.2253027173186066
271045,5,842,1007,1.254984248371724
274380,3,996,1007,1.19562118626549
275025,3,958,1007,1.195621186265489
269674,7,868,1038,1.3110423076506665
274817,5,995,1007,1.2549842483717262
273745,6,1004,1007,1.284665779424844
273708,9,968,1007,1.3737103725841953
273403,4,989,1007,1.2253027173186073
273141,3,791,1007,1.1956211862654846
274480,4,672,1061,1.219945642956503
269197,1,3,1007,1.1362581241588654
274435,6,811,1007,1.284665779424841
275226,4,904,1007,1.225302717318606
269911,5,663,1052,1.2504085448037023
266822,7,928,1007,1.3143473104779575
271928,3,312,1054,1.1910689144800541
267402,4,671,1007,1.2253027173185989
272679,3,999,1007,1.19562118626549
268218,3,864,1007,1.195621186265487
270623,3,604,1007,1.195621186265475
275187,3,937,1055,1.1909724342273595
273040,7,855,1031,1.3117871449407947
272830,1,808,1008,1.1361657319990803
269420,5,769,1008,1.2548822022756807
270192,3,278,1008,1.1955239671373359
271236,4,966,1008,1.2252030847065392
271914,5,872,1026,1.253048206191945
267408,3,746,1008,1.195523967137386
269637,6,880,1024,1.282892273899596
273968,4,949,1008,1.225203084706539
271353,4,965,1008,1.2252030847065392
272237,2,954,1008,1.1658448495682439
273555,4,739,1008,1.2252030847065334
271351,2,396,1009,1.1657500593406132
271544,8,964,1009,1.343810286206476
274972,8,908,1009,1.3438102862064754
274057,1,381,1009,1.1360733548629243
274681,2,869,1009,1.1657500593406591
268779,6,756,1009,1.2844568772512037
267414,3,606,1014,1.194940984222985
268200,4,889,1030,1.2230152592252135
267542,3,951,1009,1.1954267638182996
268606,1,887,1009,1.136073354863015
267343,2,477,1009,1.1657500593406271
273381,5,860,1009,1.2547801727735706
273387,1,924,1009,1.1360733548630173
272995,5,353,1009,1.254780172773542
267264,2,962,1009,1.1657500593406622
270565,4,766,1039,1.222122490106259
272231,1,277,1009,1.136073354862878
267737,2,511,1010,1.165655284525833
272245,3,872,1010,1.1953295763043534
267596,4,870,1010,1.225003868082847
268783,4,835,1046,1.221429014726927
270226,2,773,1010,1.1656552845258557
271534,2,652,1066,1.1603723782318496
272774,2,860,1010,1.1656552845258599
273334,3,474,1010,1.1953295763043297
269837,3,873,1010,1.1953295763043534
269087,4,899,1010,1.2250038680828474
268855,1,185,1010,1.1359809927471656
274940,1,783,1010,1.1359809927473514
272997,3,336,1010,1.1953295763043101
274736,3,647,1010,1.195329576304344
272634,3,697,1010,1.1953295763043468
267324,6,473,1010,1.2843524516398135
273085,1,853,1010,1.1359809927473576
269807,3,661,1010,1.1953295763043448
274521,3,824,1010,1.195329576304352
273278,4,874,1010,1.225003868082847
267043,2,870,1010,1.1656552845258603
267854,4,71,1040,1.2220233739874053
274025,3,878,1011,1.1952324045917053
267715,5,557,1011,1.254576163534931
269260,5,621,1030,1.2526413792705207
269800,1,650,1011,1.1358886456484336
268054,2,857,1011,1.1655605251200856
273896,6,824,1011,1.284248043006555
275070,1,914,1011,1.1358886456484607
273606,4,753,1011,1.2249042840633206
271349,2,383,1011,1.1655605251200372
267135,2,945,1011,1.1655605251200887
269544,4,714,1011,1.2249042840633193
273825,2,548,1011,1.165560525120063
274263,0,0,1011,1.1062167659257445
274481,8,1001,1011,1.3435918019497917
270822,2,645,1011,1.1655605251200727
274822,3,440,1011,1.1952324045916773
270009,1,906,1011,1.1358886456484603
269122,5,1008,1011,1.2545761635349442
272617,5,1040,1062,1.2493962493402622
268402,4,579,1011,1.2249042840633124
270290,3,409,1011,1.1952324045916731
270301,3,695,1057,1.1907795206054412
269595,1,100,1011,1.135888645648192
275173,5,811,1055,1.2501046839666627
267018,1,793,1012,1.1357963135626423
273873,4,698,1012,1.22480471623341
272961,4,786,1012,1.2248047162334132
272054,3,983,1012,1.1951352486765
267622,4,901,1012,1.224804716233416
268360,4,975,1012,1.2248047162334172
270402,4,989,1012,1.2248047162334175
268003,2,979,1012,1.1654657811195803
271757,4,876,1012,1.2248047162334155
269045,0,0,1012,1.106126845753893
273677,4,428,1012,1.2248047162333915
274021,2,806,1012,1.1654657811195739
266960,3,610,1012,1.1951352486764852
268287,3,126,1012,1.1951352486763973
275152,2,900,1012,1.165465781119578
268481,4,981,1012,1.2248047162334172
273883,1,934,1012,1.1357963135626532
271520,1,933,1012,1.1357963135626532
273600,5,892,1012,1.2544741837903335
267606,2,888,1013,1.1653710525205934
271399,5,959,1013,1.254372220623506
267386,2,674,1013,1.1653710525205816
272171,8,711,1059,1.338369410388114
268617,2,730,1013,1.1653710525205856
269354,1,279,1013,1.1357039964861435
266836,3,324,1013,1.1950381085548516
271225,4,757,1013,1.224705164589197
268538,4,1006,1013,1.2247051645892029
270076,4,946,1044,1.2216270702299672
273436,3,251,1013,1.195038108554836
271821,7,830,1020,1.312959314985273
268476,3,841,1013,1.1950381085548967
270588,4,907,1013,1.2247051645892009
269932,3,860,1013,1.1950381085548973
267880,1,1000,1013,1.1357039964862876
273240,4,847,1013,1.2247051645891998
269049,3,968,1051,1.1913584490511326
271584,7,879,1028,1.312106620063829
267075,4,768,1014,1.2246056291266536
273414,4,876,1014,1.2246056291266567
274492,6,1006,1056,1.2795671599529488
272497,5,904,1014,1.2542702740303184
272629,3,969,1014,1.1949409842229997
274913,4,935,1014,1.2246056291266578
270894,5,949,1014,1.2542702740303193
274849,3,993,1014,1.1949409842229999
273574,5,851,1065,1.2490928802386927
269962,5,786,1014,1.254270274030316
273969,2,802,1014,1.1652763393193315
267687,1,861,1014,1.1356116944156636
270927,3,865,1015,1.1948438756770035
267338,4,948,1015,1.224506109841917
271026,4,874,1015,1.2245061098419157
269168,6,815,1015,1.2838305781717336
270146,4,924,1015,1.2245061098419168
273598,2,869,1015,1.1651816415120904
272594,1,640,1015,1.135519407347144
273429,4,447,1064,1.2196494008549426
269408,1,41,1015,1.1355194073468367
273354,1,759,1015,1.1355194073471597
268593,5,992,1015,1.2541683440068283
274648,1,636,1015,1.1355194073471433
268654,6,940,1045,1.280708221965418
272349,3,913,1015,1.1948438756770048
275172,3,974,1015,1.1948438756770061
270810,3,721,1016,1.1947467829130471
274582,4,304,1062,1.2198468796006654
269454,2,995,1015,1.1651816415120946
273729,2,674,1015,1.1651816415120793
272907,4,696,1016,1.2244066067310002
272847,4,1004,1016,1.224406606731008
272511,4,998,1016,1.224406606731008
266953,4,802,1016,1.224406606731004
274869,2,594,1016,1.1650869590950774
267707,3,930,1016,1.194746782913054
267119,2,899,1016,1.165086959095097
273319,5,919,1016,1.254066430548959
270854,4,431,1016,1.2244066067309818
267539,0,0,1016,1.1057673112043533
269076,3,875,1016,1.1947467829130527
270892,4,814,1016,1.2244066067310042
270340,1,246,1016,1.135427135276976
271181,3,960,1016,1.1947467829130547
268624,6,965,1069,1.2782212507881892
274023,4,881,1016,1.224406606731006
274591,4,757,1016,1.2244066067310027
272249,2,247,1024,1.1643300533580525
269631,4,901,1016,1.2244066067310064
272129,4,438,1017,1.2243071197899624
269901,1,431,1017,1.1353348782018196
274810,2,972,1017,1.164992292064601
269555,8,1007,1017,1.3429367752407582
274527,3,177,1017,1.1946497059272092
267176,4,836,1017,1.2243071197899849
270625,3,594,1017,1.1946497059272796
273692,2,880,1017,1.1649922920645979
274799,0,0,1017,1.1056774640836233
272047,2,1008,1017,1.164992292064602
268032,3,861,1017,1.1946497059272922
274747,6,671,1017,1.2836219475153654
271868,6,971,1017,1.283621947515372
268502,7,957,1017,1.3132793613780638
273290,8,945,1017,1.3429367752407577
270394,4,663,1071,1.2189587284788266
271791,3,637,1047,1.1917447141842206
271427,5,848,1018,1.253862653313949
273198,6,947,1018,1.2835176576129836
273520,1,170,1018,1.1352426361175922
273254,2,1015,1018,1.1648976404168498
273527,5,433,1045,1.251118128207882
268523,5,892,1018,1.2538626533139499
272045,5,785,1018,1.2538626533139476
272111,3,946,1018,1.1945526447158838
272016,3,554,1018,1.1945526447158654
